,Unnamed: 0,name,position,domain,years_exp,contact,tags
0,0,Adinolfi,technician,production,5,5602230628,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi adinolfi technician product domain ensur smooth oper machineri equip hi adinolfi technician product domain ensur smooth oper machineri equip
1,1,Ait Sidi,sr. dba,it/is,3,3116596357,databas administr sql databas manag perform tun backup recoveri data integr troubleshoot high avail databas design nosql etl data model data wareh relat databa mysql oracl microsoft sql serv databas secur data migr queri optim hello ait sidi domain role senior dba involv manag optim databas effici data storag retriev hello ait sidi domain role senior dba involv manag optim databas effici data storag retriev
2,2,Akinkuolie,datascientist,production,3,5145698835,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hey akinkuoli within product domain leverag data scienc techniqu analyz product data improv process hey akinkuoli within product domain leverag data scienc techniqu analyz product data improv process
3,3,Alagbe,technician,production,5,3255944229,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi alagb work technician product domain focu maintain repair equip minim downtim hi alagb work technician product domain focu maintain repair equip minim downtim
4,4,Anderson,technician,production,4,6105474090,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello anderson product domain play crucial role technician ensur effici oper machineri hello anderson product domain play crucial role technician ensur effici oper machineri
5,5,Anderson,technician,production,5,9558775355,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey andreola softwar engin softwar engin domain develop maintain softwar solut meet busi need hey andreola softwar engin softwar engin domain develop maintain softwar solut meet busi need
6,6,Andreola,software engineer,software engineering,3,2204110261,softwar develop program algorithm program python java web develop databas manag softwar design agil methodolog test debug version control softwar architectur problem solv data structur cloud comput rest api git hi athwal within product domain work technician respons maintain troubleshoot product equip hi athwal within product domain work technician respons maintain troubleshoot product equip
7,7,Athwal,technician,production,4,3489385111,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello bachiochi technician product domain ensur proper function machineri equip hello bachiochi technician product domain ensur proper function machineri equip
8,8,Bachiochi,technician,production,3,1777992572,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey bacong domain role support involv assist user technic issu ensur smooth oper hey bacong domain role support involv assist user technic issu ensur smooth oper
9,9,Bacong,it support,it/is,5,2958618649,support technic support troubleshoot helpdesk support instal network troubleshoot support custom servic ticket system remot support problem solv softwar upd system mainten comput repair user train itil incid manag knowledg ba polici asset manag hi baczenski within product domain focu maintain repair equip technician hi baczenski within product domain focu maintain repair equip technician
